State,1969-70,1979-80,1989-90,1999- 2000,2009-10,2019-20,2020-21
United States,8626,15970,31367,41807,55370,64133,65293
Alabama,6818,13060,24828,36689,47571,54095,54271
Alaska,10560,27210,43153,46462,59672,72010,73061
Arizona,8711,15054,29402,36902,46952,50782,52157
Arkansas,6307,12299,22352,33386,46700,50456,51668
California,10315,18020,37998,47680,68203,84531,85856
Colorado,7761,16205,30758,38163,49202,57706,58183
Connecticut,9262,16229,40461,51780,64350,78427,79742
Delaware,9015,16148,33377,44435,57080,64853,65141
District of Columbia,10285,22190,38402,47076,64548,79350,80659
Florida,8412,14149,28803,36722,46708,49102,51009
Georgia,7276,13853,28006,41023,53112,60578,60553
Hawaii,9453,19920,32047,40578,55063,65409,70922
Idaho,6890,13611,23861,35547,46283,52875,51817
Illinois,9569,17601,32794,46486,62077,68083,70705
Indiana,8833,15599,30902,41850,49986,51745,53072
Iowa,8355,15203,26747,35678,49626,58184,58831
Kansas,7612,13690,28744,34981,46657,51320,53619
Kentucky,6953,14520,26292,36380,49543,53907,54139
Louisiana,7028,13760,24300,33109,48903,51566,52472
Maine,7572,13071,26881,35561,46106,55276,57167
Maryland,9383,17558,36319,44048,63971,73444,74006
Massachusetts,8764,17253,34712,46580,69273,84290,86755
Michigan,9826,19663,37072,49044,57958,63568,64262
Minnesota,8658,15912,32190,39802,52431,58663,66561
Mississippi,5798,11850,24292,31857,45644,46843,46862
Missouri,7799,13682,27094,35656,45317,50817,51557
Montana,7606,14537,25081,32121,45759,52135,53133
Nebraska,7375,13516,25522,33237,46227,55267,56463
Nevada,9215,16295,30590,39390,51524,56672,58167
New Hampshire,7771,13017,28986,37734,51443,59622,61849
New Jersey,9130,17161,35676,52015,65130,76376,77677
New Mexico,7796,14887,24756,32554,46258,54256,54923
New York,10336,19812,38925,51020,71633,87069,90222
North Carolina,7494,14117,27883,39404,46850,54150,53458
North Dakota,6696,13263,23016,29863,42964,53525,54837
Ohio,8300,15269,31218,41436,55958,61406,63082
Oklahoma,6882,13107,23070,31298,47691,54096,54762
Oregon,8818,16266,30840,42336,55224,67685,68565
Pennsylvania,8858,16515,33338,48321,59156,70339,71479
Rhode Island,8776,18002,36057,47041,59686,75336,75966
South Carolina,6927,13063,27217,36081,47508,53329,53188
South Dakota,6403,12348,21300,29071,38837,48984,49547
Tennessee,7050,13972,27052,36328,46290,51862,52871
Texas,7255,14132,27496,37567,48261,57090,57641
Utah,7644,14909,23686,34946,45885,54678,57226
Vermont,7968,12484,29012,37758,49084,61108,62483
Virginia,8070,14060,30938,38744,50015,57665,58506
Washington,9225,18820,30457,41043,53003,76743,79388
West Virginia,7650,13710,22842,35009,45959,50238,50261
Wisconsin,8963,16006,31921,41153,51264,59431,59992
Wyoming,8232,16012,28141,34127,55861,59786,60234
